name
HABIB´S (VIA SUL)
HAPVIDA ANA LIMA
HEMOCE
HENRIQUE JORGE
HIPER BOMPRECO (BEZERRA)
HIPER BOMPRECO (BORGE DE MELO)
HIPER BOMPRECO (PAPICU)
HORIZONTE
HORTO (MARACANAU)
HOSPITAL ALBERT SABIEN
HOSPITAL ANTONIO PRUDENTE (AGUANAMBI)
HOSPITAL BATISTA/ALDEOTA
HOSPITAL CESAR CALS (CENTRO)
HOSPITAL CURA DARS/SAO CAMILO
HOSPITAL CURANDARES
HOSPITAL DA CRIANCA (MONTESE)
HOSPITAL DA MULHER
HOSPITAL DAS CLINICAS
HOSPITAL DO CORACAO (MESSEJANA)
HOSPITAL FROTINHA DA PARANGABA
HOSPITAL FROTINHA DE MESSEJANA
HOSPITAL GENESIS
HOSPITAL GERAL
HOSPITAL GONZAGUINHA ( BARRA )
HOSPITAL GONZAGUINHA MESSEJANA
HOSPITAL HGF
HOSPITAL ICC (JOSE BASTOS)
HOSPITAL IJF
HOSPITAL LUIZ DE FRANCA
HOSPITAL MARACANAU
HOSPITAL MENTAL (MESSEJANA)
HOSPITAL POLICIA MILITAR
HOSPITAL PRONTOCARDIO
HOSPITAL SANTA CASA (CENTRO)
HOSPITAL SAO CARLOS
HOSPITAL SAO JOSE (PARQUELANDIA)
HOSPITAL SAO MATEUS
HOSPITAL SAO RAIMUNDO
HOSPITAL UNICLINIC
HOSPITAL UNIMED (PEDIATRIA)
HOSPITAL UNIMED (SAO JOAO TAUAPE)
HOSPITAL WALDEMAR DE ALCANTARA
HOTEL MALIBU
ICARAI
IGREJA CATOLICA (M. SALAZAR)
IGREJA DE FATIMA
IGREJA DO SENHOR JESUS ( WOSHINGTON SOARES )
IGREJA SAO VICENTE/ ANTONIO SALES
INDUSTRIAL
INSTITUTO DOS CEGOS (BEZERRA DE MENEZES)
IPARANA
ITAITINGA
ITAMARATY
ITAOCA
ITAPERI
ITAPIPOCA
JACANAU ( MARACANAU )
JACARECANGA
JANGURUSSU
JARDIM AMERICA
JARDIM CEARENSE
JARDIM DAS OLIVEIRAS
JARDIM FLUMINENSE
JARDIM GUANABARA
JARDIM IRACEMA
JARDIM UNIAO
JARDIM VIOLETA
JARI ( MARACANAU )
JATOBA
JENIPAPEIRO (MARACANAU)
JEREISSATI I
JEREISSATI II
JEREISSATI III
JOAO XXIII
JOAQUIM TAVORA
JOQUEI CLUB
JOSE BONIFACIO
JOSE DE ALENCAR
JOSE WALTER
JUREMA
KUKUKAYA
LAGOA REDONDA
LAGO DO JACAREY (CAMBEBA)
LEBLON (OSORIO DE PAIVA)
LUCIANO CAVALCANTE
LUZARDO VIANA(MARACANAU)
MAGALHAES
MAKRO ATACADISTA (BR-116)
MANGABEIRA (EUSEBIO)
MANUEL DIAS BRANCO
MARACANAU
MARACANAU (MARACANAU)
MARANGUAPE
MARAPONGA
MARAPONGA MART MODA
MARCOS FREIRE
MARIA TOMASIA (MESSEJANA)
MARINA PARK
MATA GALINHA
MATERNIDADE ESCOLA
MAURICIO DE NASSAU
MEIRELES
MERCADO CENTRAL
MESSEJANA
METROPOLE
MONDUBIM
MONTE CASTELO
MONTENEGRO 1 (JOSE WALTER)
MONTENEGRO 2 (JOSE WALTER)
MONTESE
MOTEL SHANADU
MOURA BRASIL
MUCUNA DE BAIXO
MUCUNA DE CIMA
MUCURIPE
MUCURIPE CLUBE
MUNGUBA
MUSIQUE
NAMI (UNIFOR)
NORTH SHOPPING (BEZERRA)
NORTH SHOPPING MARACANAU
NOVO MARACANAU
NOVO MONDUBIM
NOVO ORIENTE ( MARACANAU )
OLHO D`AGUA (EUSEBIO)
OLHO D'AGUA (MARACANAU)
OTAVIO BOFIM
PACAJUS
PACATUBA
PACHECO
PADRE ANDRADE
PAJUCARA (MARACANAU)
PALMACIA
PAN-AMERICANO
PAO DE ACUCAR (ANTONIO SALES)
PAPICU
PARANGABA
PARQUE ARAXA
PARQUE AWAI ( EUSEBIO )
PARQUE BETANIA (MESSEJANA)
PARQUE DOIS IRMAOS
PARQUE DO VAQUEIRO
PARQUE IRACEMA
PARQUELANDIA
PARQUE MANIBURA
PARQUE RECREIO (RUI BARBOSA)
PARQUE RIO BRANCO
PARQUE SANTA MARIA
PARQUE SANTANA
PARQUE SANTA ROSA (APOLO XI)
PARQUE SANTA ROSA (ESPERANÇA)
PARQUE SAO JOSE
PARREAO
PASSARE
PATACAS (AQUIRAZ)
PATIO AGUA FRIA
PATIO ARVOREDO
PAUPINA
PAVUNA
PECEM
PEDRAS
PEQUENO MONDUBIM
PICI (PARQUE UNIVERSITARIO)
PIEDADE
PINDORETAMA
PIO XII
PIRAMBU
PIRATININGA(MARACANAU)
PLANALTO AYRTON SENNA
PORTO DAS DUNAS
POSTO DE SAUDE (SAO JOAO TAUAPE)
PRAIA CACA E PESCA
PRAIA DA CAPONGA
PRAIA DA COFECO
PRAIA DA PRAINHA
PRAIA DA TABUBA
PRAIA DE BEBERIBE
PRAIA DE IRACEMA
PRAIA DE PARACURU
PRAIA DO BALBINO
PRAIA DO BATOQUE
PRAIA DO CUMBUCO
PRAIA DO FORTIM
PRAIA DO FUTURO
PRAIA DO ICARAI
PRAIA DO IGUAPE
PRAIA DO JAPAO
PRAIA DO PRESIDIO
PRAIA SABIAGUABA
PRESIDENTE KENNEDY
PRESIDENTE VARGAS
QUINTINO CUNHA
REDENCAO
RESENHA BAR
RESIDENCIAL 1 E 2 ( MARACANAU)
RESIDENCIAL DEMOCRITO DUMMAR II (MARACANAU)
RESIDENCIAL DEMOCRITO DUMMAR I (MARACANAU)
RESTAURANTE BRASEIRO ( SAO JOAO TAUAPE)
RESTAURANTE CARNE DE RUSSAS
RODOLFO TEOFILO
RODOVIARIA (BORGE DE MELO)
RODOVIARIA(MESSEJANA)
SALINAS
SANTA CECILIA
SANTA CLARA
SANTA FE
SANTA FILOMENA
SANTA MARIA MESSEJANA
SANTA ROSA (MESSEJANA)
SAO BENTO (MESSEJANA)
SAO BERNARDO ( MESSEJANA )
SAO CRISTOVAO
SAO CRISTOVAO 2
SAO GERARDO
SAO JOAO DO TAUAPE
SAO LUIZ (PONTES VIEIRA)
SAO LUIZ (VIRGILIO TAVORA)
SAPIRANGA (COITE)
SEIS BOCAS
SERPRO (PONTES VIEIRA)
SERRINHA
SERVILUZ
SESC (CENTRO)
SETOR H (MARACANAU)
SHOPPING ALDEOTA
SHOPPING AVENIDA
SHOPPING BENFICA
SHOPPING CENTER UM
SHOPPING DEL PASEO
SHOPPING DIOGO (CENTRO)
SHOPPING DIOGO (MESSEJANA)
SHOPPING IGUATEMI
SHOPPING JOQUEI
SHOPPING MARACANAU
SHOPPING PARANGABA
SHOPPING PATIO DOM LUIZ
SHOPPING RIO MAR (PAPICU)
SHOPPING SALINAS
SHOPPING VIA SUL
SIARA HALL
SIQUEIRA I
SIQUEIRA II
SITIO CORREGO
SITIO DA VOVO MARACANAU
SITIO SAO JOAO
SUPER MERCADO PANORAMA ( MESSEJANA )
TABAPUA
TAIBA
TAMANDARE
TANCREDO NEVES
TAPERA ( AQUIRAZ )
TAPIOQUEIRA
TESTE
TIMBO (MARACANAU)
TIMBOZINHO  ( MARACANAU)
UNIFOR
UPA BARRA DO CEARA
UPA GENIBAU
UPA ITAPERY
UPA JOSE WALTER
UPA MESSEJANA
UPA PRAIA DO FUTURO
URUCUTUBA
VARJOTA
VICENTE PINZON
VILA BETANIA
VILA DAS FLORES (MARACANAU)
VILA ELLERY
VILA MANOEL SATIRO
VILA PERY
VILA UNIAO
VILA VELHA
